"","cohort","Country","Sex","B0_50100","B0_50110","B1_50100","B1_50110","compression.one_50100","compression.one_50110","compression.twoThird_50100","compression.twoThird_50110","postponement.one_50100","postponement.one_50110","postponement.twoThird_50100","postponement.twoThird_50110"
"1",1871,"Australia","Male",-4.5683972686638,-4.56364598586571,0.0819897446365615,0.0817112184496083,NA,NA,NA,NA,NA,NA,NA,NA
"2",1872,"Australia","Male",-4.56006132278368,-4.55461088218299,0.0817228218313724,0.0814196910333192,NA,NA,NA,NA,NA,NA,NA,NA
"3",1873,"Australia","Male",-4.55467403271842,-4.55117763491654,0.0815229060962089,0.0813229808721022,NA,NA,NA,NA,NA,NA,NA,NA
"4",1874,"Australia","Male",-4.54577531965785,-4.54030022410233,0.0812729693754139,0.0809505999836303,NA,NA,NA,NA,NA,NA,NA,NA
"5",1875,"Australia","Male",-4.53686832943047,-4.53220782716397,0.0810896358070611,0.0807954484307972,NA,NA,NA,NA,NA,NA,NA,NA
"6",1876,"Australia","Male",-4.53796114697313,-4.53445150262725,0.0811839454542272,0.0809619843459061,NA,NA,NA,NA,NA,NA,NA,NA
"7",1877,"Australia","Male",-4.55560087084941,-4.54970856975802,0.0816078633290744,0.0812598061869451,NA,NA,NA,NA,NA,NA,NA,NA
"8",1878,"Australia","Male",-4.55490378222336,-4.55100455787074,0.0815928407565563,0.0813681589670693,NA,NA,NA,NA,NA,NA,NA,NA
"9",1879,"Australia","Male",-4.54985396677929,-4.5431786254082,0.0814729883599336,0.0810626688823193,NA,NA,NA,NA,NA,NA,NA,NA
"10",1880,"Australia","Male",-4.56097866904188,-4.55591865223554,0.0817682157282385,0.0814200885439951,-0.0485223279014839,-0.0506951180851516,-0.046478983232717,-0.0485654113686955,0.0139408692930658,0.0241539924385776,0.0118963955393241,0.022022827474899
"11",1881,"Australia","Male",-4.57788083818646,-4.57436514736986,0.0821603865216092,0.0819518010338557,0.0619582464046964,0.0702366295741825,0.0593339771527432,0.06726726876078,-6.94929678601852e-05,-0.0077210823167313,0.00255563594127395,-0.00475051707422125
"12",1882,"Australia","Male",-4.58361971139911,-4.57921847406755,0.0821059137668112,0.0818882488232738,0.154161625985193,0.161543354520131,0.147616267159222,0.154699242326263,0.00621884669283901,-0.00456587025764676,0.0127660958965166,0.00228053060175171
"13",1883,"Australia","Male",-4.56769616224477,-4.56081768942534,0.0814410932868861,0.0810613525439095,0.085444831785157,0.0634042998907844,0.0818363188043492,0.0607341256568148,0.050050461664874,0.0690591302713877,0.053658475683541,0.0717279361231782
"14",1884,"Australia","Male",-4.56067213351446,-4.55283973529862,0.081028871019319,0.0805529830715439,0.0979582423820666,0.0827588559004262,0.0938280780825487,0.0792816465707737,0.0812286795096924,0.099105643084151,0.0853575361121734,0.102580859597317
"15",1885,"Australia","Male",-4.56270423609862,-4.55569110806236,0.0809027981021233,0.080459111393314,0.170018433845122,0.155059531593956,0.162835991107837,0.148530079282811,0.103445863498909,0.120713588548568,0.110627233430151,0.127241299445039
"16",1886,"Australia","Male",-4.5619786751588,-4.55572548713623,0.0807725349902031,0.0803791629804039,0.157902231498049,0.140230598696206,0.151230782902498,0.134322108949039,0.134163090236544,0.15386260933823,0.140832372507234,0.159768181306138
"17",1887,"Australia","Male",-4.55002286292831,-4.54752015401149,0.080429884448072,0.0802888445504702,-0.0366098514543864,-0.0144141310983343,-0.0350725501495681,-0.0138098989055813,0.171394147310398,0.148477576368357,0.169851058210998,0.147868657375852
"18",1888,"Australia","Male",-4.5534623397869,-4.54754306668046,0.0803073335301336,0.0799914475192668,-0.00945913089774209,-0.0227733723612431,-0.00906142016045663,-0.0218183129005531,0.200797708032617,0.20988416558188,0.200393691999562,0.208922516118246
"19",1889,"Australia","Male",-4.55841248458749,-4.55147899508673,0.0801104961530096,0.0797121627396769,0.0561840114749117,0.0547345724420225,0.0538163178840172,0.0524359468396831,0.242627268947576,0.240573377005237,0.244988312204391,0.242865634265385
"20",1890,"Australia","Male",-4.55708597312422,-4.55238816246891,0.0798761845826518,0.0795734322047761,-0.025507616092149,-0.0232227344218003,-0.0244343218198075,-0.0222482297888895,0.291870885641021,0.286461495992725,0.29078842430156,0.285478287047038
"21",1891,"Australia","Male",-4.56786022921022,-4.55790830007466,0.0800307824055266,0.0793965826048747,-0.0654688547191569,-0.107809181208069,-0.0627094912398363,-0.103283095579219,0.313141164757162,0.363880755872113,0.310371284491445,0.359342512222867
"22",1892,"Australia","Male",-4.56488964811316,-4.56840251995495,0.0800383462569394,0.0802411257836408,-0.122585202894602,-0.070914011079271,-0.117434399320558,-0.0679317249201041,0.278164054170531,0.233692392233461,0.273003114556634,0.230702014968756
"23",1893,"Australia","Male",-4.54541839324956,-4.53655922539579,0.0794243351581547,0.0789208029995902,-0.146833884410764,-0.160563090437396,-0.140707257223742,-0.153889657670689,0.26006485489043,0.275212097447945,0.253928877386013,0.268529111531578
"24",1894,"Australia","Male",-4.55423367860595,-4.55281175122791,0.0794966161077346,0.0793908213060049,-0.042582306772136,-0.000185968548937154,-0.0408019449308874,-0.000178206821765059,0.229005707704513,0.188228315669402,0.227218292937806,0.188215312476775
"25",1895,"Australia","Male",-4.55605677954733,-4.55184405687489,0.0792509202234165,0.0790280968002962,-0.0440420111582078,-0.0256085063549207,-0.0422022862699336,-0.0245416951497788,0.248852067766347,0.22174855274725,0.247004861896436,0.220675436212701
"26",1896,"Australia","Male",-4.58200675727276,-4.57431748910703,0.0794571599632636,0.078978278263148,0.132667114893973,0.123703439666972,0.127079947908129,0.118513210601137,0.273858115495297,0.284445826153931,0.27943918227469,0.289629812931018
"27",1897,"Australia","Male",-4.59345748837614,-4.58903417409303,0.0794404865582339,0.079152823189936,0.28819243729675,0.275909117516463,0.27599652056605,0.264254272415588,0.290001258053316,0.308889703318933,0.302192513117543,0.320539336334758
"28",1898,"Australia","Male",-4.59619147333134,-4.59305402974858,0.0792409648673275,0.079085755212103,0.284046958443714,0.303524350273634,0.272038331154153,0.290713976616768,0.301740025359681,0.283404268099929,0.313743722963157,0.296210494047649
"29",1899,"Australia","Male",-4.54985625350122,-4.55017109439648,0.0779152441366937,0.077971793570401,-0.0572359565621525,-0.00878318708972614,-0.0548613864075342,-0.00841910891259801,0.336821046640825,0.283472951572257,0.334437425266717,0.283101782700406
"30",1900,"Australia","Male",-4.523478701821,-4.51526848483587,0.0770554957515843,0.0765354101474673,-0.225804632610792,-0.250297322094372,-0.216535517253881,-0.240061945670412,0.366648722261061,0.393638425293389,0.357368621977788,0.383391651412555
"31",1901,"Australia","Male",-4.56695807857398,-4.56424578023245,0.0778849089683233,0.0776736838127807,-0.00604302943265012,0.0427329268104977,-0.00579167859207885,0.0409605130007478,0.354432059061573,0.30648899447452,0.354171883229792,0.308254556972891
"32",1902,"Australia","Male",-4.61228251476712,-4.6053318930752,0.0784982864601909,0.078106957185383,0.316336493755976,0.24611538913398,0.302961073975073,0.235728452788383,0.400178406930024,0.469294914010113,0.413547104467217,0.47967274190718
"33",1903,"Australia","Male",-4.62347001835606,-4.61987482233386,0.0783037675805331,0.0780936168207016,0.523054357634674,0.56126589642782,0.500830637846498,0.537475623375361,0.423142761246467,0.389074011123256,0.44536156627484,0.412860656767741
"34",1904,"Australia","Male",-4.60182991099826,-4.60126816912828,0.0775335325386357,0.0775106182305875,0.319565343589534,0.325716195474509,0.306114021827923,0.312013790173648,0.474935695508446,0.463564973681741,0.488379060147054,0.477259789888826
"35",1905,"Australia","Male",-4.61839863240237,-4.61630480049137,0.0776312062086518,0.0774990127453827,0.419532817417323,0.434796396747966,0.401816213505008,0.416456413044457,0.463800121535659,0.454940738003707,0.481510114993196,0.473274556628262
"36",1906,"Australia","Male",-4.63129052724802,-4.62909603455725,0.0776364791945167,0.0774784548216204,0.331835705996479,0.370700934693577,0.317845200780436,0.355104895857242,0.462458530187565,0.424251263959281,0.476441642628401,0.439841328175831
"37",1907,"Australia","Male",-4.64100694361251,-4.64211098622835,0.077646320890618,0.0777131089355718,0.320579093816672,0.358886892787105,0.307065129754495,0.343765867783912,0.455055298902909,0.410333790474571,0.468561995591408,0.42544898065907
"38",1908,"Australia","Male",-4.65310849258136,-4.65071801472277,0.0775693318722428,0.0774454522901112,0.38455652459869,0.390251254139713,0.368316606866575,0.373788421892296,0.465185000926425,0.462180849511629,0.481418188809137,0.478637153237432
"39",1909,"Australia","Male",-4.65124112945628,-4.65098448649199,0.0771854328424876,0.0771467024889937,0.691855596928338,0.687499839716082,0.662557180087514,0.658378586856426,0.435639026081834,0.450841121701973,0.464934424823774,0.479959013220007
"40",1910,"Australia","Male",-4.65426263552894,-4.65386141427343,0.0770146873973538,0.0769669416504832,0.898548298548697,0.957453354331918,0.86041275957286,0.916886368319492,0.403436061139786,0.342305288484752,0.441570971787328,0.382873209506212
